العطر,السؤال:,الجواب الأول,الجواب الثاني,الجواب الثالث,الجواب الصحيح
Candy musk,ما هو المكون في قمة عطر CANDY MUSK,خوخ,مشمش,برغموت,C
Candy musk,ما هو المكون في قلب عطر CANDY MUSK,برتقال,الزهور,فانيليا,E
Candy musk,ما هو المكون في قاعدة عطر CANDY MUSK,عنبر,جلد,مسك,E
Black Secret,ما هي العائلى العطرية لعطر Black Secret 150ml,سبايسي,الجلد,خشبي,C
Black Secret,يتميز عطر BLACK SECRET,الرمان,الياسمين,الدراق,D
Black Secret,ما هو المكون الموجود في قلب عطر BLACK SECRET,فانيلا,عنبر,ورد,E
Black Secret,ما هو المكون الموجود في قمة عطر BLACK SECRET,توت,ياسمين,مسك,C
Noir,ما هو المكون الموجود قي قلب العطر ل زيت NOIR 15ml,التوت,توباكو,أوريس,E
Noir,ما هو المكون الموجود قي قمة العطر ل زيت NOIR 15ml,توباكو,أوريس,الجلد,D
Noir,ما هو المكون الموجود قي قاعدة العطر ل زيت NOIR 15ml,التوت,عود,الدراق,D
Rose De Mai,ما هو المكون في قمة عطر ROSE DE MAI,جريب فروت,خلاصة زهرة السنتفوليا,الصندل,C
Rose De Mai,ما هو المكون في قلب عطر ROSE DE MAI,خلاصة زهرة السنتفوليا,العنبر,الباتشولي,C
Rose De Mai,ما هو المكون في قاعدة عطر ROSE DE MAI,المسك,العنبر,الباتشولي,E
